time,Ohms,I,Tvti,Tsample,angle,Hdigit,Hanalog
13006.144909,0.00167,0.0001,108.486,133.997,0,1.2498,1.275
13008.533045,3e-05,0.0001,108.495,133.957,0,1.2498,1.2749
13010.848178,-0.0004,0.0001,108.494,133.911,0,1.2498,1.275
13013.178311,-0.0008,0.0001,108.487,133.876,0,1.2498,1.275
13015.494443,-0.00011,0.0001,108.512,133.832,0,1.2498,1.2749
13017.87958,-0.000925,0.0001,108.486,133.791,0,1.2498,1.2749
13020.296718,-0.00054,0.0001,108.511,133.753,0,1.2498,1.275
13022.650853,-0.00033,0.0001,108.52,133.697,0,1.2498,1.2749
13024.965985,0.000835,0.0001,108.527,133.673,0,1.2498,1.2749
13027.352122,-0.000975,0.0001,108.54,133.624,0,1.2498,1.2749
13029.678255,0.000475,0.0001,108.561,133.591,0,1.2498,1.2749
13031.991387,0.00056,0.0001,108.58,133.544,0,1.2498,1.2749
13034.327521,-0.000535,0.0001,108.597,133.506,0,1.2498,1.2749
13036.641653,-0.000335,0.0001,108.61,133.466,0,1.2498,1.2749
13038.976786,0.00053,0.0001,108.636,133.42,0,1.2498,1.2749
13041.294919,7.5e-05,0.0001,108.66,133.381,0,1.2498,1.275
13043.612052,0.000925,0.0001,108.684,133.335,0,1.2498,1.275
13045.926184,0.00131,0.0001,108.701,133.301,0,1.2498,1.275
13048.244317,-0.001295,0.0001,108.725,133.266,0,1.2498,1.275
13050.58045,0.00016,0.0001,108.756,133.224,0,1.2498,1.2749
13052.963586,-0.000715,0.0001,108.789,133.175,0,1.2498,1.275
13055.279719,-0.00035,0.0001,108.833,133.134,0,1.2498,1.2749
13057.593851,-0.000425,0.0001,108.853,133.089,0,1.2498,1.275
13059.929985,0.00057,0.0001,108.882,133.051,0,1.2498,1.2749
13062.246117,-6.5e-05,0.0001,108.923,133.012,0,1.2498,1.275
13064.56025,0.0001,0.0001,108.956,132.978,0,1.2498,1.2749
13066.945386,0.000245,0.0001,108.989,132.948,0,1.2498,1.275
13069.331523,3e-05,0.0001,109.038,132.903,0,1.2498,1.2749
13071.655656,0.001155,0.0001,109.072,132.856,0,1.2498,1.2749
13073.992789,-9e-05,0.0001,109.097,132.825,0,1.2498,1.275
13076.477931,-0.001535,0.0001,109.139,132.783,0,1.2498,1.2749
13078.838066,0.000675,0.0001,109.179,132.742,0,1.2498,1.275
13081.154199,0.00059,0.0001,109.22,132.7,0,1.2498,1.275
13083.568337,-0.00049,0.0001,109.266,132.666,0,1.2498,1.275
13085.935472,-0.00068,0.0001,109.306,132.624,0,1.2498,1.2749
13088.321609,-0.00077,0.0001,109.36,132.589,0,1.2498,1.2749
13090.706745,0.001465,0.0001,109.401,132.552,0,1.2498,1.2749
13093.022878,0.00046,0.0001,109.448,132.52,0,1.2498,1.275
13095.34101,0.000185,0.0001,109.478,132.474,0,1.2498,1.275
13097.657143,-0.000585,0.0001,109.512,132.441,0,1.2498,1.275
13100.04828,-0.000325,0.0001,109.568,132.407,0,1.2498,1.275
13102.463418,0.00056,0.0001,109.629,132.358,0,1.2498,1.275
13104.819552,0.00048,0.0001,109.671,132.337,0,1.2498,1.275
13107.133685,0.00047,0.0001,109.725,132.291,0,1.2498,1.2749
13109.469818,-0.0006,0.0001,109.755,132.253,0,1.2498,1.275
13111.786951,0.001175,0.0001,109.822,132.212,0,1.2498,1.275
13114.127085,-0.000975,0.0001,109.855,132.186,0,1.2498,1.2749
13116.454218,-9e-05,0.0001,109.888,132.144,0,1.2498,1.275
13118.837354,0.00018,0.0001,109.959,132.102,0,1.2498,1.2749
13121.222491,6e-05,0.0001,110.037,132.071,0,1.2498,1.275
13123.637629,-0.001065,0.0001,110.061,132.034,0,1.2498,1.2749
13126.015765,5e-06,0.0001,110.141,131.989,0,1.2498,1.2749
13128.400901,0.00013,0.0001,110.18,131.971,0,1.2498,1.2749
13130.717034,-0.00045,0.0001,110.223,131.922,0,1.2498,1.275
13133.055167,0.0012,0.0001,110.269,131.898,0,1.2498,1.275
13135.442304,0.000935,0.0001,110.323,131.85,0,1.2498,1.2749
13137.860442,-0.00056,0.0001,110.408,131.817,0,1.2498,1.275
13140.220577,0.00016,0.0001,110.449,131.778,0,1.2498,1.275
13142.552711,-0.001385,0.0001,110.497,131.743,0,1.2498,1.275
13144.869843,-0.00018,0.0001,110.562,131.713,0,1.2498,1.275
13147.25598,-0.000705,0.0001,110.616,131.682,0,1.2498,1.275
13149.641116,0.000455,0.0001,110.649,131.655,0,1.2498,1.275
13151.962249,0.000165,0.0001,110.717,131.61,0,1.2498,1.2751
13154.346385,-0.000595,0.0001,110.765,131.585,0,1.2498,1.275
13156.663518,-0.000195,0.0001,110.819,131.544,0,1.2498,1.275
13158.988651,0.000275,0.0001,110.878,131.51,0,1.2498,1.275
13161.325784,-0.000335,0.0001,110.899,131.484,0,1.2498,1.2749
13163.641917,-0.00015,0.0001,110.989,131.444,0,1.2498,1.275
13165.96705,-0.00182,0.0001,111.006,131.426,0,1.2498,1.275
13168.285182,0.000725,0.0001,111.087,131.388,0,1.2498,1.2749
13170.598315,0.00159,0.0001,111.143,131.349,0,1.2498,1.275
13173.015453,-0.000795,0.0001,111.189,131.318,0,1.2498,1.275
13175.370588,-0.000145,0.0001,111.243,131.284,0,1.2498,1.275
13177.754724,0.00148,0.0001,111.29,131.251,0,1.2498,1.275
13180.074857,-0.001635,0.0001,111.361,131.229,0,1.2498,1.2749
13182.40199,0.00155,0.0001,111.364,131.204,0,1.2498,1.275
13184.716122,-0.000755,0.0001,111.443,131.159,0,1.2498,1.275
13187.037255,-0.001155,0.0001,111.494,131.137,0,1.2498,1.275
13189.362388,-0.00087,0.0001,111.531,131.105,0,1.2498,1.2749
13191.701522,0.000445,0.0001,111.609,131.072,0,1.2498,1.2749
13194.021655,-0.000345,0.0001,111.647,131.048,0,1.2498,1.275
13196.406791,-0.000615,0.0001,111.695,131.016,0,1.2498,1.2749
13198.732924,-0.001175,0.0001,111.727,130.991,0,1.2498,1.2749
13201.051057,0.001925,0.0001,111.779,130.961,0,1.2498,1.2749
13203.369189,5.29395592034e-20,0.0001,111.856,130.92,0,1.2498,1.275
13205.732324,-0.00077,0.0001,111.879,130.905,0,1.2498,1.275
13208.047457,0.00011,0.0001,111.945,130.87,0,1.2498,1.275
13210.363589,-0.000565,0.0001,111.998,130.844,0,1.2498,1.275
13212.702723,0.000125,0.0001,112.033,130.821,0,1.2498,1.2749
13215.019856,0.000335,0.0001,112.078,130.789,0,1.2498,1.275
13217.403992,-0.00114,0.0001,112.146,130.761,0,1.2498,1.275
13219.719124,-0.0019,0.0001,112.198,130.736,0,1.2498,1.275
13222.044257,-5.5e-05,0.0001,112.246,130.704,0,1.2498,1.275
13224.36039,-0.000825,0.0001,112.28,130.681,0,1.2498,1.275
13226.745526,-0.0002,0.0001,112.327,130.66,0,1.2498,1.275
13229.132663,-0.0009,0.0001,112.377,130.627,0,1.2498,1.2749
13231.446795,6e-05,0.0001,112.422,130.605,0,1.2498,1.2749
13233.782929,-0.000795,0.0001,112.476,130.584,0,1.2498,1.275
13236.099061,-0.000715,0.0001,112.529,130.545,0,1.2498,1.275
13238.483198,-0.000335,0.0001,112.573,130.522,0,1.2498,1.275
13240.867334,0.0001,0.0001,112.63,130.49,0,1.2498,1.275
13243.25347,-0.00066,0.0001,112.669,130.471,0,1.2498,1.2749
13245.570603,2e-05,0.0001,112.722,130.445,0,1.2498,1.275
13247.886735,-0.000625,0.0001,112.758,130.418,0,1.2498,1.2749
13250.212868,0.00027,0.0001,112.794,130.398,0,1.2498,1.275
13252.527001,-0.00089,0.0001,112.862,130.376,0,1.2498,1.2749
13254.844133,-0.00112,0.0001,112.921,130.346,0,1.2498,1.2749
13257.183267,-0.00165,0.0001,112.953,130.332,0,1.2498,1.2749
13259.570404,-0.00032,0.0001,113.013,130.295,0,1.2498,1.275
13261.95854,-0.0008,0.0001,113.072,130.278,0,1.2498,1.275
13264.343677,0.000295,0.0001,113.091,130.264,0,1.2498,1.275
13266.659809,-0.00121,0.0001,113.131,130.235,0,1.2498,1.275
13269.047946,0.000385,0.0001,113.221,130.204,0,1.2498,1.2749
13271.433082,-0.00012,0.0001,113.24,130.186,0,1.2498,1.275
13273.757215,0.000665,0.0001,113.293,130.167,0,1.2498,1.2749
13276.099349,-0.0013,0.0001,113.33,130.148,0,1.2498,1.275
13278.419482,0.000525,0.0001,113.372,130.121,0,1.2498,1.275
13280.737614,0.00026,0.0001,113.422,130.094,0,1.2498,1.275
13283.057747,0.000165,0.0001,113.483,130.09,0,1.2498,1.2749
13285.37388,0.00012,0.0001,113.51,130.064,0,1.2498,1.275
13287.712013,-0.00034,0.0001,113.544,130.037,0,1.2498,1.275
13290.035146,0.00073,0.0001,113.583,130.017,0,1.2498,1.275
13292.353279,-0.00106,0.0001,113.652,129.995,0,1.2498,1.275
13294.742415,-9.5e-05,0.0001,113.683,129.978,0,1.2498,1.2749
13297.062548,-0.000445,0.0001,113.748,129.961,0,1.2498,1.275
13299.383681,0.00053,0.0001,113.771,129.94,0,1.2498,1.275
13301.769817,-0.000115,0.0001,113.826,129.919,0,1.2498,1.275
13304.190956,-0.00077,0.0001,113.887,129.901,0,1.2498,1.275
13306.551091,-0.000505,0.0001,113.916,129.881,0,1.2498,1.275
13308.878224,0.001035,0.0001,113.948,129.86,0,1.2498,1.275
13311.199357,0.000105,0.0001,114.027,129.846,0,1.2498,1.2749
13313.520489,-0.00068,0.0001,114.049,129.831,0,1.2498,1.275
13315.838622,-0.001495,0.0001,114.084,129.807,0,1.2498,1.2749
13318.158755,-0.00022,0.0001,114.135,129.794,0,1.2498,1.2749
13320.480888,-0.000135,0.0001,114.19,129.782,0,1.2498,1.2749
13322.825022,7.5e-05,0.0001,114.233,129.759,0,1.2498,1.275
13325.213158,0.00106,0.0001,114.269,129.739,0,1.2498,1.275
13327.530291,0.00055,0.0001,114.305,129.722,0,1.2498,1.275
13329.870425,-0.000995,0.0001,114.35,129.707,0,1.2498,1.275
13332.185557,8.5e-05,0.0001,114.391,129.693,0,1.2498,1.275
13334.572694,1e-05,0.0001,114.449,129.671,0,1.2498,1.275
13336.893826,0.00011,0.0001,114.488,129.658,0,1.2498,1.275
13339.22396,6e-05,0.0001,114.52,129.644,0,1.2498,1.275
13341.571094,0.00015,0.0001,114.578,129.621,0,1.2498,1.2749
13343.931229,-0.000405,0.0001,114.617,129.602,0,1.2498,1.2748
13346.270363,0.00035,0.0001,114.652,129.588,0,1.2498,1.2749
13348.660499,0.000765,0.0001,114.691,129.58,0,1.2498,1.2749
13350.991633,-0.00038,0.0001,114.728,129.564,0,1.2498,1.2749
13353.321766,0.00025,0.0001,114.781,129.548,0,1.2498,1.2749
13355.641899,-0.00147,0.0001,114.835,129.537,0,1.2498,1.2749
13357.962031,0.000545,0.0001,114.862,129.524,0,1.2498,1.2749
13360.282164,0.000275,0.0001,114.915,129.502,0,1.2498,1.275
13362.603297,-0.000115,0.0001,114.961,129.485,0,1.2498,1.2749
13365.025435,0.00081,0.0001,114.996,129.478,0,1.2498,1.2749
13367.583582,-0.000625,0.0001,115.044,129.455,0,1.2498,1.2749
13369.925716,-0.000905,0.0001,115.095,129.447,0,1.2498,1.2749
